2011;2012;2013;2014;2015;2016;2017;2018;2019;Total;Total de homens;casos100k
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;14100.0;0.7880220646178093
0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;6.0;75465.0;0.8834117361249143
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;9140.0;1.2156576707999027
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;20025.0;0.5548619780829519
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;26675.0;0.4165364990107258
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;12353.0;0.8994666162965361
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;24694.0;1.3498555654544961
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;24891.0;0.4463907079310237
19.0;23.0;28.0;30.0;15.0;25.0;31.0;19.0;29.0;219.0;2238397.0;1.0870874707808011
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
